Time,root.energy.d0.Press_mm_hg(DOUBLE)
2016-01-11T17:00:00+08:00,733.5
2016-01-11T17:10:00+08:00,733.6
2016-01-11T17:20:00+08:00,733.7
2016-01-11T17:30:00+08:00,733.7999999999998
2016-01-11T17:40:00+08:00,733.9
2016-01-11T17:50:00+08:00,734.0
2016-01-11T18:00:00+08:00,734.1
2016-01-11T18:10:00+08:00,734.1666666666669
2016-01-11T18:20:00+08:00,734.233333333333
2016-01-11T18:30:00+08:00,734.2999999999998
2016-01-11T18:40:00+08:00,734.366666666667
2016-01-11T18:50:00+08:00,734.4333333333329
2016-01-11T19:00:00+08:00,734.5
2016-01-11T19:10:00+08:00,734.616666666667
2016-01-11T19:20:00+08:00,734.733333333333
2016-01-11T19:30:00+08:00,734.85
2016-01-11T19:40:00+08:00,734.966666666667
2016-01-11T19:50:00+08:00,735.0833333333329
2016-01-11T20:00:00+08:00,735.2
2016-01-11T20:10:00+08:00,735.233333333333
2016-01-11T20:20:00+08:00,735.266666666667
2016-01-11T20:30:00+08:00,735.2999999999998
2016-01-11T20:40:00+08:00,735.3333333333329
2016-01-11T20:50:00+08:00,735.366666666667
2016-01-11T21:00:00+08:00,735.4
2016-01-11T21:10:00+08:00,735.466666666667
2016-01-11T21:20:00+08:00,735.533333333333
2016-01-11T21:30:00+08:00,735.6
2016-01-11T21:40:00+08:00,735.6666666666669
2016-01-11T21:50:00+08:00,735.733333333333
2016-01-11T22:00:00+08:00,735.7999999999998
2016-01-11T22:10:00+08:00,735.8833333333331
2016-01-11T22:20:00+08:00,735.966666666667
2016-01-11T22:30:00+08:00,736.0499999999998
2016-01-11T22:40:00+08:00,736.1333333333331
2016-01-11T22:50:00+08:00,736.216666666667
2016-01-11T23:00:00+08:00,736.2999999999998
2016-01-11T23:10:00+08:00,736.4
2016-01-11T23:20:00+08:00,736.5
2016-01-11T23:30:00+08:00,736.6
2016-01-11T23:40:00+08:00,736.7
2016-01-11T23:50:00+08:00,736.7999999999998
2016-01-12T00:00:00+08:00,736.9
2016-01-12T00:10:00+08:00,737.0
2016-01-12T00:20:00+08:00,737.1
2016-01-12T00:30:00+08:00,737.2
2016-01-12T00:40:00+08:00,737.2999999999998
2016-01-12T00:50:00+08:00,737.4
2016-01-12T01:00:00+08:00,737.5
2016-01-12T01:10:00+08:00,737.6333333333331
2016-01-12T01:20:00+08:00,737.766666666667
2016-01-12T01:30:00+08:00,737.9
2016-01-12T01:40:00+08:00,738.033333333333
2016-01-12T01:50:00+08:00,738.1666666666669
2016-01-12T02:00:00+08:00,738.2999999999998
2016-01-12T02:10:00+08:00,738.4
2016-01-12T02:20:00+08:00,738.5
2016-01-12T02:30:00+08:00,738.6
2016-01-12T02:40:00+08:00,738.7
2016-01-12T02:50:00+08:00,738.7999999999998
2016-01-12T03:00:00+08:00,738.9
2016-01-12T03:10:00+08:00,739.016666666667
2016-01-12T03:20:00+08:00,739.1333333333331
2016-01-12T03:30:00+08:00,739.25
2016-01-12T03:40:00+08:00,739.366666666667
2016-01-12T03:50:00+08:00,739.483333333333
2016-01-12T04:00:00+08:00,739.6
2016-01-12T04:10:00+08:00,739.65
2016-01-12T04:20:00+08:00,739.7
2016-01-12T04:30:00+08:00,739.75
2016-01-12T04:40:00+08:00,739.7999999999998
2016-01-12T04:50:00+08:00,739.85
2016-01-12T05:00:00+08:00,739.9
2016-01-12T05:10:00+08:00,739.966666666667
2016-01-12T05:20:00+08:00,740.033333333333
2016-01-12T05:30:00+08:00,740.1
2016-01-12T05:40:00+08:00,740.1666666666669
2016-01-12T05:50:00+08:00,740.233333333333
2016-01-12T06:00:00+08:00,740.2999999999998
2016-01-12T06:10:00+08:00,740.4333333333329
2016-01-12T06:20:00+08:00,740.5666666666668
2016-01-12T06:30:00+08:00,740.7
2016-01-12T06:40:00+08:00,740.8333333333329
2016-01-12T06:50:00+08:00,740.966666666667
2016-01-12T07:00:00+08:00,741.1
2016-01-12T07:10:00+08:00,741.216666666667
2016-01-12T07:20:00+08:00,741.3333333333329
2016-01-12T07:30:00+08:00,741.45
2016-01-12T07:40:00+08:00,741.5666666666668
2016-01-12T07:50:00+08:00,741.6833333333329
2016-01-12T08:00:00+08:00,741.7999999999998
2016-01-12T08:10:00+08:00,741.8833333333331
2016-01-12T08:20:00+08:00,741.966666666667
2016-01-12T08:30:00+08:00,742.0499999999998
2016-01-12T08:40:00+08:00,742.1333333333331
2016-01-12T08:50:00+08:00,742.216666666667
2016-01-12T09:00:00+08:00,742.2999999999998
2016-01-12T09:10:00+08:00,742.3833333333331
2016-01-12T09:20:00+08:00,742.466666666667
2016-01-12T09:30:00+08:00,742.5499999999998
2016-01-12T09:40:00+08:00,742.6333333333331
