Time,root.energy.d0.RH_8(DOUBLE)
2016-01-11T17:00:00+08:00,48.9
2016-01-11T17:10:00+08:00,48.863333333333294
2016-01-11T17:20:00+08:00,48.73
2016-01-11T17:30:00+08:00,48.59
2016-01-11T17:40:00+08:00,48.59
2016-01-11T17:50:00+08:00,48.59
2016-01-11T18:00:00+08:00,48.59
2016-01-11T18:10:00+08:00,48.59
2016-01-11T18:20:00+08:00,48.59
2016-01-11T18:30:00+08:00,48.59
2016-01-11T18:40:00+08:00,48.59
2016-01-11T18:50:00+08:00,48.6333333333333
2016-01-11T19:00:00+08:00,48.56
2016-01-11T19:10:00+08:00,48.66666666666671
2016-01-11T19:20:00+08:00,49.19333333333329
2016-01-11T19:30:00+08:00,49.2
2016-01-11T19:40:00+08:00,49.6333333333333
2016-01-11T19:50:00+08:00,50.0266666666667
2016-01-11T20:00:00+08:00,50.2
2016-01-11T20:10:00+08:00,50.26
2016-01-11T20:20:00+08:00,50.23
2016-01-11T20:30:00+08:00,50.29
2016-01-11T20:40:00+08:00,50.1633333333333
2016-01-11T20:50:00+08:00,50.03
2016-01-11T21:00:00+08:00,49.76
2016-01-11T21:10:00+08:00,49.7
2016-01-11T21:20:00+08:00,49.6333333333333
2016-01-11T21:30:00+08:00,49.433333333333294
2016-01-11T21:40:00+08:00,49.4
2016-01-11T21:50:00+08:00,49.3266666666667
2016-01-11T22:00:00+08:00,49.1633333333333
2016-01-11T22:10:00+08:00,49.03
2016-01-11T22:20:00+08:00,48.863333333333294
2016-01-11T22:30:00+08:00,48.863333333333294
2016-01-11T22:40:00+08:00,48.95
2016-01-11T22:50:00+08:00,49.23
2016-01-11T23:00:00+08:00,49.43
2016-01-11T23:10:00+08:00,49.89
2016-01-11T23:20:00+08:00,50.1633333333333
2016-01-11T23:30:00+08:00,50.463333333333296
2016-01-11T23:40:00+08:00,50.723333333333294
2016-01-11T23:50:00+08:00,50.963333333333296
2016-01-12T00:00:00+08:00,51.1633333333333
2016-01-12T00:10:00+08:00,51.5
2016-01-12T00:20:00+08:00,51.56
2016-01-12T00:30:00+08:00,51.86
2016-01-12T00:40:00+08:00,52.0
2016-01-12T00:50:00+08:00,52.09
2016-01-12T01:00:00+08:00,52.1633333333333
2016-01-12T01:10:00+08:00,52.5
2016-01-12T01:20:00+08:00,52.9
2016-01-12T01:30:00+08:00,53.5
2016-01-12T01:40:00+08:00,53.96
2016-01-12T01:50:00+08:00,54.463333333333296
2016-01-12T02:00:00+08:00,54.7225
2016-01-12T02:10:00+08:00,54.9666666666667
2016-01-12T02:20:00+08:00,54.9666666666667
2016-01-12T02:30:00+08:00,54.9
2016-01-12T02:40:00+08:00,54.863333333333294
2016-01-12T02:50:00+08:00,54.79
2016-01-12T03:00:00+08:00,54.9
2016-01-12T03:10:00+08:00,54.9666666666667
2016-01-12T03:20:00+08:00,55.09
2016-01-12T03:30:00+08:00,55.03
2016-01-12T03:40:00+08:00,54.863333333333294
2016-01-12T03:50:00+08:00,54.73
2016-01-12T04:00:00+08:00,54.56
2016-01-12T04:10:00+08:00,54.5
2016-01-12T04:20:00+08:00,54.5
2016-01-12T04:30:00+08:00,54.5
2016-01-12T04:40:00+08:00,54.4
2016-01-12T04:50:00+08:00,54.4
2016-01-12T05:00:00+08:00,54.29
2016-01-12T05:10:00+08:00,54.23
2016-01-12T05:20:00+08:00,54.045
2016-01-12T05:30:00+08:00,54.0
2016-01-12T05:40:00+08:00,54.0
2016-01-12T05:50:00+08:00,53.9
2016-01-12T06:00:00+08:00,53.8266666666667
2016-01-12T06:10:00+08:00,53.79
2016-01-12T06:20:00+08:00,53.79
2016-01-12T06:30:00+08:00,53.76
2016-01-12T06:40:00+08:00,53.7
2016-01-12T06:50:00+08:00,53.875
2016-01-12T07:00:00+08:00,54.0
2016-01-12T07:10:00+08:00,54.06
2016-01-12T07:20:00+08:00,53.8
2016-01-12T07:30:00+08:00,53.15
2016-01-12T07:40:00+08:00,52.8
2016-01-12T07:50:00+08:00,52.363333333333294
2016-01-12T08:00:00+08:00,51.963333333333296
2016-01-12T08:10:00+08:00,51.6333333333333
2016-01-12T08:20:00+08:00,51.395
2016-01-12T08:30:00+08:00,51.045
2016-01-12T08:40:00+08:00,50.76
2016-01-12T08:50:00+08:00,50.645
2016-01-12T09:00:00+08:00,50.42
2016-01-12T09:10:00+08:00,50.1566666666667
2016-01-12T09:20:00+08:00,50.0266666666667
