Time,root.energy.d0.T6(DOUBLE)
2016-01-11T17:00:00+08:00,7.02666666666667
2016-01-11T17:10:00+08:00,6.8333333333333295
2016-01-11T17:20:00+08:00,6.56
2016-01-11T17:30:00+08:00,6.43333333333333
2016-01-11T17:40:00+08:00,6.36666666666667
2016-01-11T17:50:00+08:00,6.3
2016-01-11T18:00:00+08:00,6.263333333333329
2016-01-11T18:10:00+08:00,6.19
2016-01-11T18:20:00+08:00,6.1233333333333295
2016-01-11T18:30:00+08:00,6.19
2016-01-11T18:40:00+08:00,6.19
2016-01-11T18:50:00+08:00,6.1233333333333295
2016-01-11T19:00:00+08:00,6.1233333333333295
2016-01-11T19:10:00+08:00,6.0675
2016-01-11T19:20:00+08:00,5.9
2016-01-11T19:30:00+08:00,5.8
2016-01-11T19:40:00+08:00,5.72666666666667
2016-01-11T19:50:00+08:00,5.52666666666667
2016-01-11T20:00:00+08:00,5.3333333333333295
2016-01-11T20:10:00+08:00,5.3333333333333295
2016-01-11T20:20:00+08:00,5.46666666666667
2016-01-11T20:30:00+08:00,5.5
2016-01-11T20:40:00+08:00,5.56
2016-01-11T20:50:00+08:00,5.6233333333333295
2016-01-11T21:00:00+08:00,5.763333333333329
2016-01-11T21:10:00+08:00,5.65666666666667
2016-01-11T21:20:00+08:00,5.53
2016-01-11T21:30:00+08:00,5.43333333333333
2016-01-11T21:40:00+08:00,5.5
2016-01-11T21:50:00+08:00,5.59
2016-01-11T22:00:00+08:00,5.59
2016-01-11T22:10:00+08:00,5.65666666666667
2016-01-11T22:20:00+08:00,5.8333333333333295
2016-01-11T22:30:00+08:00,5.9
2016-01-11T22:40:00+08:00,6.0
2016-01-11T22:50:00+08:00,6.0
2016-01-11T23:00:00+08:00,5.96666666666667
2016-01-11T23:10:00+08:00,5.9
2016-01-11T23:20:00+08:00,5.763333333333329
2016-01-11T23:30:00+08:00,5.6233333333333295
2016-01-11T23:40:00+08:00,5.59
2016-01-11T23:50:00+08:00,5.59
2016-01-12T00:00:00+08:00,5.59
2016-01-12T00:10:00+08:00,5.53
2016-01-12T00:20:00+08:00,5.53
2016-01-12T00:30:00+08:00,5.53
2016-01-12T00:40:00+08:00,5.4
2016-01-12T00:50:00+08:00,5.2
2016-01-12T01:00:00+08:00,4.86666666666667
