Time,root.energy.d0.T5(DOUBLE)
2016-01-11T17:00:00+08:00,17.1666666666667
2016-01-11T17:10:00+08:00,17.1666666666667
2016-01-11T17:20:00+08:00,17.1666666666667
2016-01-11T17:30:00+08:00,17.1666666666667
2016-01-11T17:40:00+08:00,17.2
2016-01-11T17:50:00+08:00,17.1333333333333
2016-01-11T18:00:00+08:00,17.1
2016-01-11T18:10:00+08:00,17.1
2016-01-11T18:20:00+08:00,17.1666666666667
2016-01-11T18:30:00+08:00,17.1
2016-01-11T18:40:00+08:00,17.1
2016-01-11T18:50:00+08:00,17.1
2016-01-11T19:00:00+08:00,17.1
2016-01-11T19:10:00+08:00,17.1
2016-01-11T19:20:00+08:00,17.1
2016-01-11T19:30:00+08:00,17.15
2016-01-11T19:40:00+08:00,17.1666666666667
2016-01-11T19:50:00+08:00,17.2
2016-01-11T20:00:00+08:00,17.2
2016-01-11T20:10:00+08:00,17.5933333333333
2016-01-11T20:20:00+08:00,18.066666666666695
2016-01-11T20:30:00+08:00,17.6666666666667
2016-01-11T20:40:00+08:00,17.6
2016-01-11T20:50:00+08:00,17.5666666666667
2016-01-11T21:00:00+08:00,17.76
2016-01-11T21:10:00+08:00,18.3566666666667
2016-01-11T21:20:00+08:00,18.3566666666667
2016-01-11T21:30:00+08:00,18.6
2016-01-11T21:40:00+08:00,18.6666666666667
2016-01-11T21:50:00+08:00,18.823333333333295
2016-01-11T22:00:00+08:00,18.963333333333296
2016-01-11T22:10:00+08:00,19.033333333333296
2016-01-11T22:20:00+08:00,19.1
2016-01-11T22:30:00+08:00,19.158333333333296
2016-01-11T22:40:00+08:00,19.2
2016-01-11T22:50:00+08:00,19.2225
2016-01-11T23:00:00+08:00,19.29
2016-01-11T23:10:00+08:00,19.29
2016-01-11T23:20:00+08:00,19.29
2016-01-11T23:30:00+08:00,19.29
2016-01-11T23:40:00+08:00,19.29
2016-01-11T23:50:00+08:00,19.2
2016-01-12T00:00:00+08:00,19.2
2016-01-12T00:10:00+08:00,19.2
2016-01-12T00:20:00+08:00,19.2
2016-01-12T00:30:00+08:00,19.1666666666667
2016-01-12T00:40:00+08:00,19.1
2016-01-12T00:50:00+08:00,19.066666666666695
2016-01-12T01:00:00+08:00,19.0
2016-01-12T01:10:00+08:00,19.0
2016-01-12T01:20:00+08:00,19.0
2016-01-12T01:30:00+08:00,19.0
2016-01-12T01:40:00+08:00,18.9266666666667
2016-01-12T01:50:00+08:00,18.89
